match_id,home,away,home_score,away_score,status
15186710,Mexico,South Africa,2,0,Ended
15186720,South Korea,Czechia,2,1,Ended
15186836,Canada,Bosnia & Herzegovina,1,1,Ended
15186873,USA,Paraguay,4,1,Ended
15186526,Qatar,Switzerland,1,1,Ended
15186850,Brazil,Morocco,1,1,Ended
15186853,Haiti,Scotland,0,1,Ended
15186874,Australia,Türkiye,2,0,Ended
15186899,Germany,Curaçao,7,1,Ended
15186945,Netherlands,Japan,2,2,Ended
15186904,Côte d'Ivoire,Ecuador,1,0,Ended
15186951,Sweden,Tunisia,5,1,Ended
15186783,Spain,Cabo Verde,0,0,Ended
15186837,Belgium,Egypt,1,1,Ended
15186811,Saudi Arabia,Uruguay,1,1,Ended
15186832,Iran,New Zealand,2,2,Ended
15186501,France,Senegal,3,1,Ended
15186773,Iraq,Norway,1,4,Ended
15186854,Argentina,Algeria,3,0,Ended
15186751,Austria,Jordan,3,1,Ended
15186709,Portugal,DR Congo,1,1,Ended
15186504,England,Croatia,4,2,Ended
15186687,Ghana,Panama,0,0,2nd half
